,state,district,year,dyid,nitrate,sdp,outlier,gini
359,PB,amritsar,2017,Amritsar2017,14.333333,335057,0,0.3
360,PB,amritsar,2018,Amritsar2018,16.771999,353942,0,0.3
362,UP,amroha,2001,Amroha2001,5.0,395002,0,0.27
365,UP,amroha,2004,Amroha2004,87.0,425891,0,0.27
377,UP,amroha,2016,Amroha2016,67.333336,888453,0,0.27
379,UP,amroha,2018,Amroha2018,117.0,949184,0,0.27
380,GJ,anand,2000,Anand2000,34.666668,240428,0,0.21
382,GJ,anand,2002,Anand2002,39.333332,282634,0,0.21
384,GJ,anand,2004,Anand2004,43.125,305098,0,0.21
385,GJ,anand,2005,Anand2005,23.777779,349385,0,0.21
386,GJ,anand,2006,Anand2006,32.799999,378934,0,0.21
387,GJ,anand,2007,Anand2007,51.0,423741,0,0.21
388,GJ,anand,2008,Anand2008,54.125,441854,0,0.21
389,GJ,anand,2009,Anand2009,34.0,504289,0,0.21
390,GJ,anand,2010,Anand2010,60.125,559476,0,0.21
391,GJ,anand,2011,Anand2011,38.625,532809,0,0.21
392,GJ,anand,2012,Anand2012,53.333332,596659,0,0.21
393,GJ,anand,2013,Anand2013,41.900002,641489,0,0.21
394,GJ,anand,2014,Anand2014,41.375,705629,0,0.21
395,GJ,anand,2015,Anand2015,34.599998,774775,0,0.21
396,GJ,anand,2016,Anand2016,23.700001,843930,0,0.21
397,GJ,anand,2017,Anand2017,36.615383,946511,0,0.21
398,GJ,anand,2018,Anand2018,54.5,1034399,0,0.21
399,AP,anantapur,2000,Anantapur2000,98.588234,181335,0,0.27
400,AP,anantapur,2001,Anantapur2001,112.68,189557,0,0.27
401,AP,anantapur,2002,Anantapur2002,165.56599,193873,1,0.27
402,AP,anantapur,2003,Anantapur2003,104.025,212865,0,0.27
403,AP,anantapur,2004,Anantapur2004,142.61111,216304,0,0.27
404,AP,anantapur,2005,Anantapur2005,150.18182,228353,1,0.27
405,AP,anantapur,2006,Anantapur2006,209.39063,252338,1,0.27
406,AP,anantapur,2007,Anantapur2007,130.77777,283807,0,0.27
407,AP,anantapur,2008,Anantapur2008,204.83333,291061,1,0.27
408,AP,anantapur,2009,Anantapur2009,144.66667,310769,0,0.27
409,AP,anantapur,2010,Anantapur2010,142.66667,331511,0,0.27
410,AP,anantapur,2011,Anantapur2011,131.125,339996,0,0.27
411,AP,anantapur,2012,Anantapur2012,112.6087,341335,0,0.27
412,AP,anantapur,2013,Anantapur2013,89.119354,360239,0,0.27
413,AP,anantapur,2014,Anantapur2014,154.63333,397064,1,0.27
414,AP,anantapur,2015,Anantapur2015,127.61111,446997,0,0.27
415,AP,anantapur,2016,Anantapur2016,264.16129,477566,1,0.27
416,AP,anantapur,2017,Anantapur2017,150.43478,526626,1,0.27
417,AP,anantapur,2018,Anantapur2018,151.78918,558862,1,0.27
430,JK,anantnag,2012,Anantnag2012,17.0,67316,0,0.17
431,JK,anantnag,2013,Anantnag2013,70.0,70536,0,0.17
432,JK,anantnag,2014,Anantnag2014,48.0,67154,0,0.17
433,JK,anantnag,2015,Anantnag2015,5.6999998,80602,0,0.17
434,JK,anantnag,2016,Anantnag2016,23.0,82636,0,0.17
457,MP,anuppur,2001,Anuppur2001,22.23077,174443,0,0.37
458,MP,anuppur,2002,Anuppur2002,25.846153,165346,0,0.37
460,MP,anuppur,2004,Anuppur2004,34.711113,180818,0,0.37
461,MP,anuppur,2005,Anuppur2005,10.81,189928,0,0.37
462,MP,anuppur,2006,Anuppur2006,23.799999,207243,0,0.37
463,MP,anuppur,2007,Anuppur2007,28.5,217036,0,0.37
465,MP,anuppur,2009,Anuppur2009,14.83077,267651,0,0.37
466,MP,anuppur,2010,Anuppur2010,31.666666,281705,0,0.37
467,MP,anuppur,2011,Anuppur2011,6.3358335,282371,0,0.37
468,MP,anuppur,2012,Anuppur2012,25.923077,306853,0,0.37
469,MP,anuppur,2013,Anuppur2013,84.0,322598,0,0.37
470,MP,anuppur,2014,Anuppur2014,22.352942,339247,0,0.37
471,MP,anuppur,2015,Anuppur2015,18.25,370716,0,0.37
472,MP,anuppur,2016,Anuppur2016,9.0625,419465,0,0.37
473,MP,anuppur,2017,Anuppur2017,9.8095236,441956,0,0.37
474,MP,anuppur,2018,Anuppur2018,28.9375,482361,0,0.37
480,BR,araria,2005,Araria2005,12.0,125159,0,0.23
488,BR,araria,2013,Araria2013,11.8,246915,0,0.23
491,BR,araria,2016,Araria2016,22.895555,289265,0,0.23
494,TN,ariyalur,2000,Ariyalur2000,9.0,347192,0,0.24
495,TN,ariyalur,2001,Ariyalur2001,26.966667,340466,0,0.24
498,TN,ariyalur,2004,Ariyalur2004,4.8999996,355389,0,0.24
499,TN,ariyalur,2005,Ariyalur2005,59.0,406671,0,0.24
500,TN,ariyalur,2006,Ariyalur2006,57.0,470351,0,0.24
501,TN,ariyalur,2007,Ariyalur2007,24.0,499814,0,0.24
503,TN,ariyalur,2009,Ariyalur2009,2.8333333,581337,0,0.24
504,TN,ariyalur,2010,Ariyalur2010,5.3333335,660622,0,0.24
505,TN,ariyalur,2011,Ariyalur2011,33.5,674478,0,0.24
506,TN,ariyalur,2012,Ariyalur2012,18.666666,709343,0,0.24
507,TN,ariyalur,2013,Ariyalur2013,61.0,750416,0,0.24
509,TN,ariyalur,2015,Ariyalur2015,23.0,862437,0,0.24
510,TN,ariyalur,2016,Ariyalur2016,54.400002,922084,0,0.24
511,TN,ariyalur,2017,Ariyalur2017,45.540001,1000308,0,0.24
512,TN,ariyalur,2018,Ariyalur2018,93.474998,1071602,0,0.24
526,BR,arwal,2013,Arwal2013,23.625,246915,0,0.21
529,BR,arwal,2016,Arwal2016,10.807,289265,0,0.21
532,MP,ashoknagar,2000,Ashoknagar2000,20.5,162796,0,0.18
533,MP,ashoknagar,2001,Ashoknagar2001,31.322222,174443,0,0.18
534,MP,ashoknagar,2002,Ashoknagar2002,37.799999,165346,0,0.18
536,MP,ashoknagar,2004,Ashoknagar2004,47.5,180818,0,0.18
537,MP,ashoknagar,2005,Ashoknagar2005,91.181816,189928,0,0.18
538,MP,ashoknagar,2006,Ashoknagar2006,112.0,207243,0,0.18
539,MP,ashoknagar,2007,Ashoknagar2007,67.0,217036,0,0.18
540,MP,ashoknagar,2008,Ashoknagar2008,116.0,244476,0,0.18
541,MP,ashoknagar,2009,Ashoknagar2009,47.81818,267651,0,0.18
542,MP,ashoknagar,2010,Ashoknagar2010,20.181818,281705,0,0.18
543,MP,ashoknagar,2011,Ashoknagar2011,56.363636,282371,0,0.18
544,MP,ashoknagar,2012,Ashoknagar2012,72.900002,306853,0,0.18
545,MP,ashoknagar,2013,Ashoknagar2013,31.166666,322598,0,0.18
546,MP,ashoknagar,2014,Ashoknagar2014,74.966667,339247,0,0.18
548,MP,ashoknagar,2016,Ashoknagar2016,50.46154,419465,0,0.18
549,MP,ashoknagar,2017,Ashoknagar2017,50.095238,441956,0,0.18
550,MP,ashoknagar,2018,Ashoknagar2018,34.307693,482361,0,0.18
551,UP,auraiya,2000,Auraiya2000,44.0,387943,0,0.19
552,UP,auraiya,2001,Auraiya2001,24.6,395002,0,0.19
553,UP,auraiya,2002,Auraiya2002,104.2,407783,0,0.19
555,UP,auraiya,2004,Auraiya2004,24.200001,425891,0,0.19
556,UP,auraiya,2005,Auraiya2005,88.0,450750,0,0.19
567,UP,auraiya,2016,Auraiya2016,5.2183332,888453,0,0.19
569,UP,auraiya,2018,Auraiya2018,57.075001,949184,0,0.19
570,BR,aurangabad,2000,Aurangabad2000,33.083332,111839,0,0.19
571,MH,aurangabad,2001,Aurangabad2001,184.72728,578527,1,0.19
572,MH,aurangabad,2002,Aurangabad2002,108.22222,618422,0,0.19
574,MH,aurangabad,2004,Aurangabad2004,57.0,632587,0,0.19
575,BR,aurangabad,2005,Aurangabad2005,118.39533,125159,0,0.19
576,MH,aurangabad,2006,Aurangabad2006,97.083336,823993,0,0.19
577,MH,aurangabad,2007,Aurangabad2007,224.0,919898,1,0.19
578,MH,aurangabad,2008,Aurangabad2008,82.699997,934347,0,0.19
579,BR,aurangabad,2009,Aurangabad2009,171.0,186475,1,0.19
580,BR,aurangabad,2010,Aurangabad2010,124.23077,214948,0,0.19
581,BR,aurangabad,2011,Aurangabad2011,214.39999,228497,1,0.19
582,MH,aurangabad,2012,Aurangabad2012,160.58333,1189711,1,0.19
583,MH,aurangabad,2013,Aurangabad2013,25.270588,1267551,0,0.19
584,MH,aurangabad,2014,Aurangabad2014,49.414288,1345341,0,0.19
585,MH,aurangabad,2015,Aurangabad2015,30.666666,1452513,0,0.19
586,BR,aurangabad,2016,Aurangabad2016,22.841305,289265,0,0.19
587,MH,aurangabad,2017,Aurangabad2017,121.85,1661065,0,0.19
